Order;;AccidentType;AccidentType_de;AccidentType_en;types;AccidentSeverityCategory;AccidentSeverityCategory_de;AccidentSeverityCategory_en;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;RoadType_de;RoadType_en;AccidentLocation_CHLV95_E;AccidentLocation_CHLV95_N;CantonCode;MunicipalityCode;AccidentYear;AccidentMonth;AccidentMonth_de;AccidentWeekDay;AccidentWeekDay_de;AccidentHour;AccidentHour_text;;;
1;C16DA585A54583B3E053DDB9D80AD179;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683397;1247564;ZH;261;2021;3;März;aw402;Dienstag;12;12h-13h;;;
3;BE1AFC61005F2332E053DDB9D80A3A60;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682851;1247625;ZH;261;2021;3;März;aw402;Dienstag;15;15h-16h;;;
3;C0CBDE09AB666CAAE053DDB9D80A8206;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as4;Unfall mit Sachschaden;Accident with property damage;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2679872;1248926;ZH;261;2021;3;März;aw402;Dienstag;19;19h-20h;;;
2;BEA75F2ACF38050BE053DDB9D80A87F2;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2684174;1245763;ZH;261;2021;3;März;aw403;Mittwoch;13;13h-14h;;;
1;BD8EEB9EE7279854E053DDB9D80A6ECF;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681361;1243148;ZH;261;2021;3;März;aw405;Freitag;12;12h-13h;;;
1;BDCD9F4EE6B1647FE053DDB9D80ADE33;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682291;1248356;ZH;261;2021;3;März;aw405;Freitag;17;17h-18h;;;
2;C388B4A8BF17E938E053DDB9D80A7A22;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681635;1248095;ZH;261;2021;3;März;aw406;Samstag;15;15h-16h;;;
1;BD15E8A10A352B39E053DDB9D80A51C4;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2680454;1250297;ZH;261;2021;3;März;aw407;Sonntag;19;19h-20h;;;
3;C04DB8CB44AC9BD0E053DDB9D80AF2A3;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2684731;1246286;ZH;261;2021;3;März;aw401;Montag;8;08h-09h;;;
4;C0446312EA11220BE053DDB9D80A1142;at5;Überqueren der Fahrbahn;Accident when crossing the lane(s);crossing lanes;as4;Unfall mit Sachschaden;Accident with property damage;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2680276;1252749;ZH;261;2021;3;März;aw401;Montag;13;13h-14h;;;
1;C1164D7548E00C22E053DDB9D80AD0EF;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681529;1249015;ZH;261;2021;3;März;aw403;Mittwoch;11;11h-12h;;;
1;BEA752A39E9F0510E053DDB9D80A195D;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;TRUE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2678209;1250185;ZH;261;2021;3;März;aw404;Donnerstag;18;18h-19h;;;
3;BFE870BA1413574DE053DDB9D80A5F8C;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as4;Unfall mit Sachschaden;Accident with property damage;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2683321;1250422;ZH;261;2021;3;März;aw405;Freitag;15;15h-16h;;;
1;BEE8E0B9BE037FF0E053DDB9D80AEAFA;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681697;1249204;ZH;261;2021;3;März;aw405;Freitag;17;17h-18h;;;
4;BE95A08346B662E7E053DDB9D80A564B;at5;Überqueren der Fahrbahn;Accident when crossing the lane(s);crossing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2682800;1250752;ZH;261;2021;3;März;aw406;Samstag;14;14h-15h;;;
1;C16DA585A58483B3E053DDB9D80AD179;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2685814;1245558;ZH;261;2021;3;März;aw401;Montag;17;17h-18h;;;
1;BFEB9C6B96B6C6CAE053DDB9D80A89F2;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2677845;1249210;ZH;261;2021;3;März;aw402;Dienstag;11;11h-12h;;;
1;C07670E75F959675E053DDB9D80A2905;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2683957;1247344;ZH;261;2021;3;März;aw402;Dienstag;15;15h-16h;;;
1;BEA72CF5C38B6344E053DDB9D80A1F85;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681114;1248355;ZH;261;2021;3;März;aw403;Mittwoch;14;14h-15h;;;
1;C12BB038A877876FE053DDB9D80AA1D5;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683629;1246795;ZH;261;2021;3;März;aw403;Mittwoch;16;16h-17h;;;
1;BEE8E0A4D0D48CEBE053DDB9D80ACBA8;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681260;1248503;ZH;261;2021;3;März;aw403;Mittwoch;20;20h-21h;;;
3;C08F7D74F19D84EFE053DDB9D80A5CEC;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681324;1248352;ZH;261;2021;4;April;aw404;Donnerstag;19;19h-20h;;;
1;C1A2F443B3F91CA0E053DDB9D80A0DCA;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682016;1249434;ZH;261;2021;4;April;aw405;Freitag;0;00h-01h;;;
1;C07670E761459675E053DDB9D80A2905;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681262;1248536;ZH;261;2021;4;April;aw405;Freitag;1;01h-02h;;;
